,listing_id,counts
268,999067,633
679,2449576,577
32,150729,548
3022,9734834,533
17,72576,490
830,3125217,443
1904,6516619,439
61,268849,436
1580,5552321,436
297,1093015,420
4390,13364216,420
5068,15116206,414
2039,6976476,408
19,74548,408
90,411059,408
1724,5952338,399
1237,4710172,393
3495,10791996,388
3171,10021541,384
2989,9687361,380
7697,19490757,375
2188,7490588,370
275,1009577,368
2123,7270659,366
3183,10042345,364
460,1815508,361
1954,6695486,360
617,2258136,359
2915,9564822,350
2983,9668238,350
2158,7389069,348
2709,9001651,346
1649,5739222,345
624,2291815,343
6616,17558418,342
6342,17017021,341
1307,4868105,340
3226,10125065,340
1578,5551392,336
591,2178480,336
2728,9049524,335
302,1127751,331
383,1497122,326
2626,8814699,325
1743,6021753,322
859,3272235,321
1042,4139809,320
1872,6429136,318
4047,12437007,316
2896,9516067,313
776,2883262,309
571,2139835,309
1376,5023901,305
1492,5348100,304
4050,12455122,302
4171,12837696,302
1694,5837562,302
1045,4146640,298
2788,9238415,296
611,2243932,296
2052,7017140,294
435,1733049,294
2733,9067570,294
3938,12115553,293
11668,24734489,291
4618,13884891,290
805,3013363,288
2867,9440938,286
1448,5215366,286
1734,5979727,286
5190,15386832,285
1787,6157462,285
157,641180,284
4803,14346448,284
5271,15536369,284
2548,8616749,282
4701,14129849,282
2993,9697151,280
1812,6265911,280
3325,10340129,279
625,2292052,279
1741,6009923,278
1408,5115827,277
1245,4737699,277
6305,16978915,277
10163,22489044,277
922,3566505,277
1126,4380357,276
685,2479006,276
2538,8596945,276
1795,6174454,275
1479,5307603,275
3538,10909482,275
6435,17216999,274
839,3163595,273
3754,11518408,273
1990,6786688,271
201,827095,271
245,944235,271
2671,8911652,270
6449,17240712,270
2815,9310821,270
52,244952,269
5974,16480278,269
3934,12095366,268
604,2233901,268
2760,9139846,268
1581,5552322,267
4491,13585021,267
536,2028297,267
473,1847426,267
68,297350,265
1471,5280899,265
5809,16296765,264
3885,11930431,264
4094,12614124,264
4441,13456725,264
2285,7842455,262
1513,5417674,262
2796,9263414,261
2617,8785264,261
2340,7993092,261
8699,21110233,260
877,3354638,260
8245,20507240,260
2026,6893235,260
613,2245554,259
7283,18726524,259
4512,13627321,259
4652,13965166,258
527,2009201,258
5000,14983937,256
2491,8476518,256
5051,15084917,255
890,3430420,255
3542,10913296,255
1332,4926397,254
549,2079904,254
3057,9811368,254
4566,13757390,253
2819,9317887,253
5604,16073276,253
3438,10624038,253
884,3397607,252
3644,11230877,252
5647,16134707,252
3586,11030026,251
5277,15551596,251
657,2398060,250
1320,4896414,250
2100,7186925,249
309,1157185,249
961,3762356,249
23,76867,247
2483,8435936,247
2234,7667654,247
194,809366,246
2138,7316530,246
1999,6817031,246
2006,6836996,246
2588,8719959,245
1168,4515410,245
561,2119988,245
1701,5851991,245
3991,12255067,244
428,1697412,244
5360,15693885,243
491,1923545,243
5524,15947959,242
